,timestamp,contributors_BTC,commits_BTC,additions_BTC,deletions_BTC,BTC_price_BTC,EUR_price_BTC
0,1500768000.0,9.0,27.0,2624.0,2029.0,1.0,2363.29
1,1501372800.0,10.0,29.0,1412.0,1060.0,1.0,2369.13
2,1501977600.0,16.0,44.0,3078.0,1000.0,1.0,2734.11
3,1502582400.0,13.0,42.0,1369.0,570.0,1.0,3458.17
4,1503187200.0,13.0,55.0,2368.0,1463.0,1.0,3485.58
5,1503792000.0,11.0,29.0,439.0,143.0,1.0,3644.45
6,1504396800.0,14.0,47.0,636.0,718.0,1.0,3924.31
7,1505001600.0,15.0,46.0,1864.0,503.0,1.0,3578.29
8,1505606400.0,11.0,23.0,2629.0,2584.0,1.0,3112.56
9,1506211200.0,14.0,30.0,2147.0,747.0,1.0,3093.01
10,1506816000.0,13.0,35.0,590.0,544.0,1.0,3697.62
11,1507420800.0,13.0,39.0,861.0,354.0,1.0,3883.93
12,1508025600.0,16.0,41.0,2865.0,2568.0,1.0,4780.31
13,1508630400.0,7.0,15.0,778.0,260.0,1.0,5100.86
14,1509235200.0,9.0,16.0,225.0,56.0,1.0,5275.75
15,1509840000.0,11.0,26.0,2579.0,2373.0,1.0,6415.64
16,1510444800.0,14.0,44.0,1660.0,894.0,1.0,5079.19
17,1511049600.0,9.0,25.0,1412.0,913.0,1.0,6793.29
18,1511654400.0,5.0,36.0,1357.0,1594.0,1.0,7699.62
19,1512259200.0,11.0,38.0,1661.0,777.0,1.0,9513.85
20,1512864000.0,15.0,39.0,830.0,3552.0,1.0,12669.29
21,1513468800.0,12.0,30.0,342.0,269.0,1.0,15992.81
22,1514073600.0,3.0,13.0,353.0,264.0,1.0,11887.31
23,1514678400.0,11.0,23.0,729.0,647.0,1.0,11850.31
24,1515283200.0,9.0,25.0,487.0,279.0,1.0,13490.26
25,1515888000.0,9.0,28.0,694.0,167.0,1.0,11300.22
26,1516492800.0,15.0,35.0,21871.0,21421.0,1.0,9522.45
27,1517097600.0,10.0,38.0,31364.0,7288.0,1.0,9401.97
28,1517702400.0,12.0,43.0,1037.0,969.0,1.0,6544.21
29,1518307200.0,15.0,37.0,435.0,193.0,1.0,6606.51
30,1518912000.0,9.0,15.0,274.0,109.0,1.0,8422.68
31,1519516800.0,13.0,28.0,1138.0,161.0,1.0,7795.73
32,1520121600.0,21.0,54.0,2235.0,1352.0,1.0,9297.45
33,1520726400.0,9.0,27.0,347.0,198.0,1.0,7748.46
34,1521331200.0,11.0,45.0,1054.0,794.0,1.0,6681.96
35,1521936000.0,16.0,59.0,1738.0,634.0,1.0,6866.7
36,1522540800.0,14.0,53.0,3092.0,2448.0,1.0,5528.67
37,1523145600.0,17.0,51.0,1113.0,829.0,1.0,5724.27
38,1523750400.0,16.0,66.0,2627.0,1116.0,1.0,6777.36
39,1524355200.0,13.0,42.0,1597.0,990.0,1.0,7171.25
40,1524960000.0,9.0,45.0,949.0,944.0,1.0,7749.02
41,1525564800.0,9.0,25.0,1370.0,930.0,1.0,8026.34
42,1526169600.0,12.0,31.0,2103.0,1891.0,1.0,7280.3
43,1526774400.0,9.0,26.0,1460.0,1137.0,1.0,7233.78
44,1527379200.0,9.0,20.0,415.0,333.0,1.0,6283.5
45,1527984000.0,10.0,23.0,521.0,462.0,1.0,6616.42
46,1528588800.0,15.0,46.0,1846.0,1707.0,1.0,5751.72
47,1529193600.0,10.0,19.0,441.0,510.0,1.0,5584.57
48,1529798400.0,13.0,38.0,3121.0,453.0,1.0,5280.81
49,1530403200.0,7.0,12.0,312.0,121.0,1.0,5446.9
50,1531008000.0,11.0,27.0,1290.0,1141.0,1.0,5708.93
51,1531612800.0,7.0,8.0,222.0,432.0,1.0,5443.01
